iter	Passed	Remaining
0	4	426
1	7	380
2	11	357
3	13	330
4	17	327
5	20	315
6	23	305
7	26	299
8	28	290
9	31	284
10	34	276
11	36	270
12	39	262
13	41	255
14	44	251
15	46	244
16	48	239
17	51	233
18	53	229
19	56	225
20	58	221
21	61	216
22	63	212
23	66	209
24	68	205
25	70	201
26	73	198
27	77	198
28	79	195
29	82	191
30	84	188
31	86	184
32	89	180
33	91	177
34	92	172
35	94	168
36	96	163
37	97	159
38	99	155
39	100	150
40	102	146
41	102	141
42	104	137
43	105	134
44	106	130
45	107	126
46	109	123
47	110	119
48	111	116
49	112	112
50	114	109
51	115	106
52	116	103
53	117	100
54	118	96
55	119	94
56	120	91
57	122	88
58	123	85
59	124	82
60	125	80
61	127	77
62	128	75
63	129	73
64	131	70
65	132	68
66	133	65
67	135	63
68	136	61
69	137	58
70	138	56
71	139	54
72	141	52
73	142	50
74	144	48
75	145	46
76	146	43
77	148	41
78	149	39
79	150	37
80	151	35
81	152	33
82	154	31
83	155	29
84	156	27
85	157	25
86	158	23
87	160	21
88	161	19
89	162	18
90	163	16
91	165	14
92	167	12
93	168	10
94	169	8
95	170	7
96	172	5
97	173	3
98	174	1
99	175	0
